1438756826.096595,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756826.396485,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756826.696475,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756826.996557,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756827.296450,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756827.596460,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756827.896344,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756828.196521,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756828.496282,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756828.796589,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756829.096558,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756829.396517,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756829.696347,12F85150,4003000060,0x40,0x3,0x0,0x0,0x60
1438756829.776487,12F85150,0003000060,0x0,0x3,0x0,0x0,0x60
1438756830.078193,12F85150,0003000060,0x0,0x3,0x0,0x0,0x60
1438756830.086410,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756830.387826,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756830.688590,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756830.987838,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756831.288028,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756831.587805,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756831.887706,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756832.187753,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756832.487876,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756832.787641,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756833.087749,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756833.387679,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756833.688630,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756833.987653,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756834.287726,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756834.587551,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756834.887843,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756835.187698,12F85150,1003000060,0x10,0x3,0x0,0x0,0x60
1438756835.256208,12F85150,0003000060,0x0,0x3,0x0,0x0,0x60
1438756835.316194,12F85150,0403000060,0x4,0x3,0x0,0x0,0x60
1438756835.616235,12F85150,0403000060,0x4,0x3,0x0,0x0,0x60
